fips,cbsa_sub,area_name,nmdda_2023
22049,NCNTY22049N22049,"Jackson Parish, LA",1
48357,NCNTY48357N48357,"Ochiltree County, TX",1
6009,NCNTY06009N06009,"Calaveras County, CA",1
8063,NCNTY08063N08063,"Kit Carson County, CO",1
32019,NCNTY32019N32019,"Lyon County, NV",1
28043,NCNTY28043N28043,"Grenada County, MS",1
13147,NCNTY13147N13147,"Hart County, GA",1
48347,NCNTY48347N48347,"Nacogdoches County, TX",1
37139,NCNTY37139N37139,"Pasquotank County, NC",1
33019,NCNTY33019N33019,"Sullivan County, NH",1
48211,NCNTY48211N48211,"Hemphill County, TX",1
6021,NCNTY06021N06021,"Glenn County, CA",1
6011,NCNTY06011N06011,"Colusa County, CA",1
13241,NCNTY13241N13241,"Rabun County, GA",1
45075,NCNTY45075N45075,"Orangeburg County, SC",1
45025,NCNTY45025N45025,"Chesterfield County, SC",1
45089,NCNTY45089N45089,"Williamsburg County, SC",1
45067,NCNTY45067N45067,"Marion County, SC",1
45033,NCNTY45033N45033,"Dillon County, SC",1
45087,NCNTY45087N45087,"Union County, SC",1
45069,NCNTY45069N45069,"Marlboro County, SC",1
45001,NCNTY45001N45001,"Abbeville County, SC",1
45011,NCNTY45011N45011,"Barnwell County, SC",1
45049,NCNTY45049N45049,"Hampton County, SC",1
45061,NCNTY45061N45061,"Lee County, SC",1
28021,NCNTY28021N28021,"Claiborne County, MS",1
45005,NCNTY45005N45005,"Allendale County, SC",1
48389,NCNTY48389N48389,"Reeves County, TX",1
28149,NCNTY28149N28149,"Warren County, MS",1
28005,NCNTY28005N28005,"Amite County, MS",1
54101,NCNTY54101N54101,"Webster County, WV",1
51119,NCNTY51119N51119,"Middlesex County, VA",1
48411,NCNTY48411N48411,"San Saba County, TX",1
48153,NCNTY48153N48153,"Floyd County, TX",1
13311,NCNTY13311N13311,"White County, GA",1
45043,NCNTY45043N45043,"Georgetown County, SC",1
48417,NCNTY48417N48417,"Shackelford County, TX",1
48109,NCNTY48109N48109,"Culberson County, TX",1
48155,NCNTY48155N48155,"Foard County, TX",1
48443,NCNTY48443N48443,"Terrell County, TX",1
48261,NCNTY48261N48261,"Kenedy County, TX",1
13281,NCNTY13281N13281,"Towns County, GA",1
28085,NCNTY28085N28085,"Lincoln County, MS",1
16017,NCNTY16017N16017,"Bonner County, ID",1
8027,NCNTY08027N08027,"Custer County, CO",1
48293,NCNTY48293N48293,"Limestone County, TX",1
13011,NCNTY13011N13011,"Banks County, GA",1
8073,NCNTY08073N08073,"Lincoln County, CO",1
