zip_code,cbsa_sub,area_name,sdda_2023
92284,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",0
6424,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",0
6268,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",0
6269,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",0
19946,METRO20100M20100,"Dover, DE MSA",0
92536,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",0
79098,METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",0
6850,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",0
25312,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",0
25071,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",0
25025,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",0
88001,METRO29740M29740,"Las Cruces, NM MSA",0
28754,METRO11700M11700,"Asheville, NC HUD Metro FMR Area",0
88003,METRO29740M29740,"Las Cruces, NM MSA",0
87936,METRO29740M29740,"Las Cruces, NM MSA",0
31401,METRO42340M42340,"Savannah, GA MSA",0
46536,METRO43780M43780,"South Bend-Mishawaka, IN HUD Metro FMR Area",0
76230,METRO48660M48660,"Wichita Falls, TX MSA",0
83651,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",0
83705,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",0
83714,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",0
83702,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",0
73099,METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",0
73064,METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",0
76082,METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",0
76044,METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",0
1603,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",0
1608,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",0
11779,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
11701,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
11553,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
71220,METRO33740M22067,"Morehouse Parish, LA HUD Metro FMR Area",0
11726,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
11798,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
65809,METRO44180M44180,"Springfield, MO HUD Metro FMR Area",0
11935,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
11549,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
11959,METRO35620MM5380,"Nassau-Suffolk, NY HUD Metro FMR Area",0
98830,METRO48300M48300,"Wenatchee, WA MSA",0
71264,METRO33740M22067,"Morehouse Parish, LA HUD Metro FMR Area",0
97456,METRO21660M21660,"Eugene-Springfield, OR MSA",0
71250,METRO33740M22067,"Morehouse Parish, LA HUD Metro FMR Area",0
41052,METRO17140MM3020,"Grant County, KY HUD Metro FMR Area",0
37072,METRO34980M34980,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",0
17036,METRO25420M25420,"Harrisburg-Carlisle, PA MSA",0
43149,METRO18140N39073,"Hocking County, OH HUD Metro FMR Area",0
38487,METRO34980N47119,"Maury County, TN HUD Metro FMR Area",0
38461,METRO34980N47119,"Maury County, TN HUD Metro FMR Area",0
75243,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
75062,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
75238,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
75134,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
76258,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
13066,METRO45060M45060,"Syracuse, NY MSA",0
75442,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",0
13042,METRO45060M45060,"Syracuse, NY MSA",0
68122,METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",0
31046,METRO31420M31420,"Macon-Bibb County, GA HUD Metro FMR Area",0
32304,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",0
14607,METRO40380M40380,"Rochester, NY HUD Metro FMR Area",0
32343,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",0
95615,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",0
20906,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
20902,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
22150,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
80514,METRO24540M24540,"Greeley, CO MSA",0
20137,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",0
93544,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",0
24502,METRO31340M31340,"Lynchburg, VA MSA",0
30720,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",0
98935,METRO49420M49420,"Yakima, WA MSA",0
99181,METRO44060N53065,"Stevens County, WA HUD Metro FMR Area",0
44224,METRO10420M10420,"Akron, OH MSA",0
2816,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",0
51054,METRO43580M43580,"Sioux City, IA-NE-SD MSA",0
44411,METRO10420M10420,"Akron, OH MSA",0
39428,METRO25620M28031,"Covington County, MS HUD Metro FMR Area",0
39146,METRO27140M28051,"Holmes County, MS HUD Metro FMR Area",0
39146,METRO27140N28163,"Yazoo County, MS HUD Metro FMR Area",0
39038,METRO27140M28051,"Holmes County, MS HUD Metro FMR Area",0
